,pol_lat,pol_lon,Cluster
603,39.02469667,-77.12663833,1
603,39.0241,-77.146,1
603,39.02087817,-77.13712533,1
603,39.02367167,-77.14309167,1
603,38.99175,-77.09806833,1
603,39.02328333,-77.15857,1
603,39.02339167,-77.15946667,1
603,39.02324833,-77.15794667,1
603,39.02686833,-77.12614,1
603,39.02153333,-77.14072,1
603,39.02331333,-77.15747333,1
603,39.02326167,-77.157035,1
603,39.02368333,-77.15765333,1
603,39.08556167,-76.94541167,2
603,39.0232455,-77.148877,1
603,39.02725648,-77.14749736,1
603,39.02678333,-77.14136833,1
603,39.02546076,-77.14185995,1
603,39.27649667,-77.21244667,0
603,39.02182833,-77.144015,1
603,39.02402,-77.144265,1
603,39.02374167,-77.14981333,1
603,39.02170333,-77.13790667,1
603,39.03378833,-77.16037333,1
603,39.03242,-77.1469,1
603,39.14395833,-77.30288333,0
603,39.02409667,-77.14318,1
603,39.02444333,-77.14291,1
603,39.03336167,-77.14689833,1
604,39.11287333,-77.06689167,1
604,39.10528333,-77.07641667,1
604,39.09773333,-77.07806167,1
604,39.10848667,-77.07088,1
604,39.10871333,-77.08115,1
604,39.09193751,-77.07033869,1
604,39.08759871,-77.07939183,1
604,39.09665333,-77.07880167,1
604,39.10542,-77.07638667,1
604,39.11782333,-77.03099333,2
604,39.07846767,-77.07678083,1
605,39.04654667,-76.99398333,2
605,39.04116277,-76.98640652,2
605,39.04578333,-76.99055333,2
605,39.045295,-76.98412,2
605,39.04591927,-76.98682308,2
605,39.04873167,-76.98211,2
605,39.06752833,-76.9628,2
605,39.10201854,-76.9401434,2
605,39.1126805,-76.932722,2
605,39.11254667,-76.93288667,2
605,39.04615333,-76.99423167,2
605,39.04120174,-76.98595395,2
605,39.06188667,-76.96246333,2
605,39.04120167,-76.986225,2
605,39.04135167,-76.98530167,2
605,39.04213833,-76.98586,2
605,39.04404667,-76.984955,2
605,39.04099333,-76.98436833,2
605,39.109775,-76.91044,2
605,39.05604667,-76.96168333,2
605,39.05018667,-76.97993167,2
605,39.043305,-76.99224167,2
605,39.04918667,-76.983045,2
605,39.05124667,-76.97907833,2
605,39.04874409,-76.98010104,2
605,39.07413833,-76.95794167,2
605,39.04866167,-76.98168333,2
605,39.0494971,-76.98047656,2
605,39.07692167,-76.965205,2
605,39.05313333,-76.97596333,2
605,39.05232,-76.977615,2
605,39.05351667,-76.975595,2
605,39.05023833,-76.981215,2
605,39.05224333,-76.97746833,2
605,39.02288167,-76.97835833,2
605,39.04486543,-76.98831076,2
